北京电信226,#genre#
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8

湖北电信myds,#genre#
CETV1,http://www.hiliu.myds.me:8088/rtp/239.69.1.110:10298
安徽卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.70:10060
北京卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.141:8920
东方卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.142:8926
东方卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.173:10674
东南卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.108:10286
广东卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.140:8914
广西卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.191:10788
贵州卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.150:10536
海南卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.151:10542
河北卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.113:9616
河北卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.157:10578
河南卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.168:10644
黑龙江卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.138:8902
湖北卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.115:8664
湖南卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.139:8908
吉林卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.212:10914
江苏卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.144:8938
