北京电信226,#genre#
乐游,http://gang.pecmd.cn:6000/rtp/232.0.0.108:1234
晴彩广场舞,http://gang.pecmd.cn:6000/rtp/232.0.0.64:1234
晴彩竞技,http://gang.pecmd.cn:6000/rtp/232.0.0.19:1234
晴彩篮球,http://gang.pecmd.cn:6000/rtp/232.0.0.24:1234
晴彩青少,http://gang.pecmd.cn:6000/rtp/232.0.0.62:1234
生活时尚,http://gang.pecmd.cn:6000/rtp/232.0.0.107:1234
新动漫,http://gang.pecmd.cn:6000/rtp/232.0.0.36:1234
游戏风云,http://gang.pecmd.cn:6000/rtp/232.0.0.127:1234

内蒙联通164,#genre#
金鹰纪实,http://1.25.12.164:9000/udp/239.125.2.106:4134
IPTV5+,http://1.25.12.164:9000/udp/239.125.1.25:5000

山东电信huaz,#genre#
9屏,http://home.huaz.site:4000/udp/239.21.1.203:5002
CHC动作电影,http://home.huaz.site:4000/udp/239.21.2.128:5002
CHC家庭影院,http://home.huaz.site:4000/udp/239.21.2.126:5002
CHC影迷电影,http://home.huaz.site:4000/udp/239.21.2.127:5002
NHK
东方财经,http://home.huaz.site:4000/udp/239.21.2.108:5002
动漫秀场,http://home.huaz.site:4000/udp/239.21.2.92:5002
都市剧场,http://home.huaz.site:4000/udp/239.21.2.90:5002
法治天地,http://home.huaz.site:4000/udp/239.21.2.105:5002
海洋频道,http://home.huaz.site:4000/udp/239.21.2.119:5002
茶频道,http://home.huaz.site:4000/udp/239.21.2.110:5002
纪实科教,http://home.huaz.site:4000/udp/239.21.1.172:5002
纪实人文,http://home.huaz.site:4000/udp/239.21.1.171:5002
金色学堂,http://home.huaz.site:4000/udp/239.21.2.102:5002
金鹰纪实,http://home.huaz.site:4000/udp/239.21.1.170:5002
精彩影视,http://home.huaz.site:4000/udp/239.21.2.91:5002
快乐垂钓,http://home.huaz.site:4000/udp/239.21.2.97:5002
乐游,http://home.huaz.site:4000/udp/239.21.2.104:5002
梨园频道,http://home.huaz.site:4000/udp/239.21.2.101:5002
魅力足球,http://home.huaz.site:4000/udp/239.21.2.95:5002
生活时尚,http://home.huaz.site:4000/udp/239.21.2.103:5002
文物宝库,http://home.huaz.site:4000/udp/239.21.2.109:5002
武术世界,http://home.huaz.site:4000/udp/239.21.2.96:5002
游戏风云,http://home.huaz.site:4000/udp/239.21.2.107:5002
中国交通,http://home.huaz.site:4000/udp/239.21.1.115:5002
重庆汽摩,http://home.huaz.site:4000/udp/239.21.2.142:5002

山西电信154,#genre#
茶频道,http://1.70.35.154:8083/udp/239.1.1.77:8077
东方财经,http://1.70.35.154:8083/udp/239.1.1.85:8085
动漫秀场,http://1.70.35.154:8083/udp/239.1.1.80:8080
都市剧场,http://1.70.35.154:8083/udp/239.1.1.81:8081
法治天地,http://1.70.35.154:8083/udp/239.1.1.79:8079
纪实人文,http://1.70.35.154:8083/udp/239.1.1.45:8045
金色学堂,http://1.70.35.154:8083/udp/239.1.1.82:8082
金鹰纪实,http://1.70.35.154:8083/udp/239.1.1.63:8063
快乐垂钓,http://1.70.35.154:8083/udp/239.1.1.86:8086
乐游,http://1.70.35.154:8083/udp/239.1.1.84:8084
魅力足球,http://1.70.35.154:8083/udp/239.1.1.75:8075
生活时尚,http://1.70.35.154:8083/udp/239.1.1.76:8076
游戏风云,http://1.70.35.154:8083/udp/239.1.1.83:8083

陕西电信ssrs2004,#genre#
CHC动作电影,http://ssrs2004.win:8888/rtp/239.112.205.207:5140
CHC高清电影,http://ssrs2004.win:8888/rtp/239.112.205.206:5140
CHC家庭影院,http://ssrs2004.win:8888/rtp/239.112.205.205:5140
IPTV体育,http://ssrs2004.win:8888/rtp/239.111.205.40:5140
都市剧场,http://ssrs2004.win:8888/rtp/239.111.205.2:5140
欢笑剧场,http://ssrs2004.win:8888/rtp/239.112.205.236:5140
欢笑剧场4K,http://ssrs2004.win:8888/rtp/239.111.205.1:5140
